Leeftijd;Perioden;Regio's;Bevolking op 1 januari (aantal)
0 jaar;2023;Berkel-Enschot;
0 jaar;2022;Berkelland;356
0 jaar;2023;Berkelland;346
0 jaar;2022;Berlicum;
0 jaar;2023;Berlicum;
0 jaar;2022;Bernheze;298
0 jaar;2023;Bernheze;298
0 jaar;2022;Bernisse;
0 jaar;2023;Bernisse;
0 jaar;2022;Best;337
0 jaar;2023;Best;280
0 jaar;2022;Beuningen;241
0 jaar;2023;Beuningen;269
0 jaar;2022;Beverwijk;463
0 jaar;2023;Beverwijk;442
0 jaar;2022;Bierum;
0 jaar;2023;Bierum;
0 jaar;2022;het Bildt;
0 jaar;2023;het Bildt;
0 jaar;2022;De Bilt;419
0 jaar;2023;De Bilt;408
0 jaar;2022;Binnenmaas;
0 jaar;2023;Binnenmaas;
0 jaar;2022;Bladel;182
0 jaar;2023;Bladel;184
0 jaar;2022;Bladel en Netersel;
0 jaar;2023;Bladel en Netersel;
0 jaar;2022;Blaricum;155
0 jaar;2023;Blaricum;121
0 jaar;2022;Bleiswijk;
0 jaar;2023;Bleiswijk;
0 jaar;2022;Bloemendaal;151
0 jaar;2023;Bloemendaal;142
0 jaar;2022;Boarnsterhim;
0 jaar;2023;Boarnsterhim;
0 jaar;2022;Bodegraven;
0 jaar;2023;Bodegraven;
0 jaar;2022;Bodegraven-Reeuwijk;458
0 jaar;2023;Bodegraven-Reeuwijk;414
0 jaar;2022;Boekel;126
0 jaar;2023;Boekel;126
0 jaar;2022;Ten Boer;
0 jaar;2023;Ten Boer;
0 jaar;2022;Bolsward;
0 jaar;2023;Bolsward;
0 jaar;2022;Borculo;
0 jaar;2023;Borculo;
0 jaar;2022;Borger;
0 jaar;2023;Borger;
0 jaar;2022;Borger-Odoorn;214
0 jaar;2023;Borger-Odoorn;191
0 jaar;2022;Born;
0 jaar;2023;Born;
0 jaar;2022;Borne;274
0 jaar;2023;Borne;271
0 jaar;2022;Borsele;228
0 jaar;2023;Borsele;231
0 jaar;2022;Boskoop;
0 jaar;2023;Boskoop;
0 jaar;2022;Boxmeer;
0 jaar;2023;Boxmeer;
0 jaar;2022;Boxtel;303
0 jaar;2023;Boxtel;293
0 jaar;2022;Brakel;
0 jaar;2023;Brakel;
0 jaar;2022;Breda;1871
0 jaar;2023;Breda;1747
0 jaar;2022;Brederwiede;
0 jaar;2023;Brederwiede;
0 jaar;2022;Breukelen;
0 jaar;2023;Breukelen;
0 jaar;2022;Brielle;164
0 jaar;2023;Brielle;
0 jaar;2022;Broek in Waterland;
0 jaar;2023;Broek in Waterland;
0 jaar;2022;Broekhuizen;
0 jaar;2023;Broekhuizen;
0 jaar;2022;Bronckhorst;246
0 jaar;2023;Bronckhorst;237
0 jaar;2022;Brouwershaven;
0 jaar;2023;Brouwershaven;
0 jaar;2022;Bruinisse;
0 jaar;2023;Bruinisse;
0 jaar;2022;Brummen;143
0 jaar;2023;Brummen;164
0 jaar;2022;Brunssum;208
0 jaar;2023;Brunssum;216
0 jaar;2022;Budel;
0 jaar;2023;Budel;
0 jaar;2022;Bunnik;152
0 jaar;2023;Bunnik;141
0 jaar;2022;Bunschoten;282
0 jaar;2023;Bunschoten;261
0 jaar;2022;Buren;273
0 jaar;2023;Buren;238
0 jaar;2022;Bussum;
0 jaar;2023;Bussum;
0 jaar;2022;Callantsoog;
0 jaar;2023;Callantsoog;
0 jaar;2022;Capelle aan den IJssel;714
0 jaar;2023;Capelle aan den IJssel;645
0 jaar;2022;Castricum;323
0 jaar;2023;Castricum;274
0 jaar;2022;Chaam;
0 jaar;2023;Chaam;
0 jaar;2022;Coevorden;289
0 jaar;2023;Coevorden;269
0 jaar;2022;Cothen;
0 jaar;2023;Cothen;
0 jaar;2022;Cranendonck;143
0 jaar;2023;Cranendonck;183
0 jaar;2022;Cromstrijen;
0 jaar;2023;Cromstrijen;
0 jaar;2022;Cuijk;
0 jaar;2023;Cuijk;
0 jaar;2022;Cuijk en Sint Agatha;
0 jaar;2023;Cuijk en Sint Agatha;
0 jaar;2022;Culemborg;367
0 jaar;2023;Culemborg;300
0 jaar;2022;Dalen;
0 jaar;2023;Dalen;
0 jaar;2022;Dalfsen;281
0 jaar;2023;Dalfsen;274
0 jaar;2022;Dantumadeel;
0 jaar;2023;Dantumadeel;
0 jaar;2022;Dantumadiel;171
0 jaar;2023;Dantumadiel;188
0 jaar;2022;Delft;913
0 jaar;2023;Delft;799
0 jaar;2022;Delfzijl;
0 jaar;2023;Delfzijl;
0 jaar;2022;Denekamp;
0 jaar;2023;Denekamp;
0 jaar;2022;Deurne;319
0 jaar;2023;Deurne;261
0 jaar;2022;Deventer;991
0 jaar;2023;Deventer;1029
0 jaar;2022;Didam;
0 jaar;2023;Didam;
0 jaar;2022;Diemen;346
0 jaar;2023;Diemen;336
0 jaar;2022;Diepenheim;
0 jaar;2023;Diepenheim;
0 jaar;2022;Diepenveen;
0 jaar;2023;Diepenveen;
0 jaar;2022;Diessen;
0 jaar;2023;Diessen;
0 jaar;2022;Diever;
0 jaar;2023;Diever;
0 jaar;2022;Dijk en Waard;955
0 jaar;2023;Dijk en Waard;832
0 jaar;2022;Dinkelland;254
0 jaar;2023;Dinkelland;254
