Leeftijd;Perioden;Regio's;Bevolking op 1 januari (aantal)
5 jaar;2022;Houten;576
5 jaar;2023;Houten;605
5 jaar;2022;Huijbergen;
5 jaar;2023;Huijbergen;
5 jaar;2022;Huissen;
5 jaar;2023;Huissen;
5 jaar;2022;Huizen;369
5 jaar;2023;Huizen;411
5 jaar;2022;Hulst;223
5 jaar;2023;Hulst;230
5 jaar;2022;Hummelo en Keppel;
5 jaar;2023;Hummelo en Keppel;
5 jaar;2022;Hunsel;
5 jaar;2023;Hunsel;
5 jaar;2022;IJsselham;
5 jaar;2023;IJsselham;
5 jaar;2022;IJsselmuiden;
5 jaar;2023;IJsselmuiden;
5 jaar;2022;IJsselstein;327
5 jaar;2023;IJsselstein;332
5 jaar;2022;Ilpendam;
5 jaar;2023;Ilpendam;
5 jaar;2022;Jacobswoude;
5 jaar;2023;Jacobswoude;
5 jaar;2022;Jisp;
5 jaar;2023;Jisp;
5 jaar;2022;Kaag en Braassem;292
5 jaar;2023;Kaag en Braassem;265
5 jaar;2022;Kamerik;
5 jaar;2023;Kamerik;
5 jaar;2022;Kampen;718
5 jaar;2023;Kampen;647
5 jaar;2022;Kantens;
5 jaar;2023;Kantens;
5 jaar;2022;Kapelle;144
5 jaar;2023;Kapelle;142
5 jaar;2022;Katwijk;766
5 jaar;2023;Katwijk;775
5 jaar;2022;Katwoude;
5 jaar;2023;Katwoude;
5 jaar;2022;Kerkrade;358
5 jaar;2023;Kerkrade;341
5 jaar;2022;Kerkwijk;
5 jaar;2023;Kerkwijk;
5 jaar;2022;Kessel;
5 jaar;2023;Kessel;
5 jaar;2022;Kesteren;
5 jaar;2023;Kesteren;
5 jaar;2022;Kloosterburen;
5 jaar;2023;Kloosterburen;
5 jaar;2022;Klundert;
5 jaar;2023;Klundert;
5 jaar;2022;Kockengen;
5 jaar;2023;Kockengen;
5 jaar;2022;Koggenland;223
5 jaar;2023;Koggenland;248
5 jaar;2022;Kollumerland en Nieuwkruisland;
5 jaar;2023;Kollumerland en Nieuwkruisland;
5 jaar;2022;Korendijk;
5 jaar;2023;Korendijk;
5 jaar;2022;Kortgene;
5 jaar;2023;Kortgene;
5 jaar;2022;Koudekerk aan den Rijn;
5 jaar;2023;Koudekerk aan den Rijn;
5 jaar;2022;Krimpen aan den IJssel;354
5 jaar;2023;Krimpen aan den IJssel;322
5 jaar;2022;Krimpenerwaard;599
5 jaar;2023;Krimpenerwaard;613
5 jaar;2022;Laarbeek;211
5 jaar;2023;Laarbeek;196
5 jaar;2022;Land van Cuijk;808
5 jaar;2023;Land van Cuijk;849
5 jaar;2022;Landerd;
5 jaar;2023;Landerd;
5 jaar;2022;Landgraaf;290
5 jaar;2023;Landgraaf;294
5 jaar;2022;Landsmeer;137
5 jaar;2023;Landsmeer;142
5 jaar;2022;Langbroek;
5 jaar;2023;Langbroek;
5 jaar;2022;Langedijk;
5 jaar;2023;Langedijk;
5 jaar;2022;Lansingerland;887
5 jaar;2023;Lansingerland;888
5 jaar;2022;Laren (NH.);118
5 jaar;2023;Laren (NH.);128
5 jaar;2022;Leek;
5 jaar;2023;Leek;
5 jaar;2022;Leende;
5 jaar;2023;Leende;
5 jaar;2022;Leens;
5 jaar;2023;Leens;
5 jaar;2022;Leerdam;
5 jaar;2023;Leerdam;
5 jaar;2022;Leersum;
5 jaar;2023;Leersum;
5 jaar;2022;Leeuwarden;1171
5 jaar;2023;Leeuwarden;1249
5 jaar;2022;Leeuwarderadeel;
5 jaar;2023;Leeuwarderadeel;
5 jaar;2022;Leiden;1045
5 jaar;2023;Leiden;1009
5 jaar;2022;Leiderdorp;313
5 jaar;2023;Leiderdorp;266
5 jaar;2022;Leidschendam;
5 jaar;2023;Leidschendam;
5 jaar;2022;Leidschendam-Voorburg;821
5 jaar;2023;Leidschendam-Voorburg;812
5 jaar;2022;Leimuiden;
5 jaar;2023;Leimuiden;
5 jaar;2022;Lelystad;892
5 jaar;2023;Lelystad;887
5 jaar;2022;Lemsterland;
5 jaar;2023;Lemsterland;
5 jaar;2022;Leudal;284
5 jaar;2023;Leudal;284
5 jaar;2022;Leusden;323
5 jaar;2023;Leusden;323
5 jaar;2022;Lichtenvoorde;
5 jaar;2023;Lichtenvoorde;
5 jaar;2022;Liemeer;
5 jaar;2023;Liemeer;
5 jaar;2022;Liempde;
5 jaar;2023;Liempde;
5 jaar;2022;Lienden;
5 jaar;2023;Lienden;
5 jaar;2022;De Lier;
5 jaar;2023;De Lier;
5 jaar;2022;Lieshout;
5 jaar;2023;Lieshout;
5 jaar;2022;Liesveld;
5 jaar;2023;Liesveld;
5 jaar;2022;Limmen;
5 jaar;2023;Limmen;
5 jaar;2022;Lingewaal;
5 jaar;2023;Lingewaal;
5 jaar;2022;Lingewaard;425
5 jaar;2023;Lingewaard;427
5 jaar;2022;Linne;
5 jaar;2023;Linne;
5 jaar;2022;Linschoten;
5 jaar;2023;Linschoten;
5 jaar;2022;Lisse;215
5 jaar;2023;Lisse;234
5 jaar;2022;Lith;
5 jaar;2023;Lith;
5 jaar;2022;Littenseradiel;
5 jaar;2023;Littenseradiel;
5 jaar;2022;Lochem;270
5 jaar;2023;Lochem;271
5 jaar;2022;Loenen;
5 jaar;2023;Loenen;
5 jaar;2022;Loon op Zand;251
5 jaar;2023;Loon op Zand;215
5 jaar;2022;Loosdrecht;
5 jaar;2023;Loosdrecht;
5 jaar;2022;Lopik;151
5 jaar;2023;Lopik;169
5 jaar;2022;Loppersum;
5 jaar;2023;Loppersum;
5 jaar;2022;Losser;215
5 jaar;2023;Losser;227
5 jaar;2022;Luyksgestel;
5 jaar;2023;Luyksgestel;
5 jaar;2022;Maarheeze;
5 jaar;2023;Maarheeze;
5 jaar;2022;Maarn;
5 jaar;2023;Maarn;
5 jaar;2022;Maarssen;
5 jaar;2023;Maarssen;
5 jaar;2022;Maartensdijk;
5 jaar;2023;Maartensdijk;
5 jaar;2022;Maasbracht;
5 jaar;2023;Maasbracht;
5 jaar;2022;Maasbree;
5 jaar;2023;Maasbree;
5 jaar;2022;Maasdonk;
5 jaar;2023;Maasdonk;
5 jaar;2022;Maasdriel;251
5 jaar;2023;Maasdriel;262
5 jaar;2022;Maasgouw;195
5 jaar;2023;Maasgouw;188
5 jaar;2022;Maashorst;569
5 jaar;2023;Maashorst;582
5 jaar;2022;Maasland;
5 jaar;2023;Maasland;
5 jaar;2022;Maassluis;402
5 jaar;2023;Maassluis;393
5 jaar;2022;Maastricht;829
5 jaar;2023;Maastricht;831
5 jaar;2022;Made;
5 jaar;2023;Made;
5 jaar;2022;Made en Drimmelen;
5 jaar;2023;Made en Drimmelen;
5 jaar;2022;Margraten;
5 jaar;2023;Margraten;
5 jaar;2022;Mariekerke;
5 jaar;2023;Mariekerke;
5 jaar;2022;Markelo;
5 jaar;2023;Markelo;
5 jaar;2022;Marken;
5 jaar;2023;Marken;
5 jaar;2022;De Marne;
5 jaar;2023;De Marne;
5 jaar;2022;Marum;
5 jaar;2023;Marum;
5 jaar;2022;Maurik;
5 jaar;2023;Maurik;
5 jaar;2022;Medemblik;455
5 jaar;2023;Medemblik;447
5 jaar;2022;Meeden;
5 jaar;2023;Meeden;
5 jaar;2022;Meerlo-Wanssum;
5 jaar;2023;Meerlo-Wanssum;
5 jaar;2022;Meerssen;156
5 jaar;2023;Meerssen;159
5 jaar;2022;Megen, Haren en Macharen;
5 jaar;2023;Megen, Haren en Macharen;
5 jaar;2022;Meierijstad;803
5 jaar;2023;Meierijstad;834
5 jaar;2022;Meijel;
5 jaar;2023;Meijel;
5 jaar;2022;Melick en Herkenbosch;
5 jaar;2023;Melick en Herkenbosch;
5 jaar;2022;Menaldumadeel;
5 jaar;2023;Menaldumadeel;
5 jaar;2022;Menameradiel;
5 jaar;2023;Menameradiel;
5 jaar;2022;Menterwolde;
5 jaar;2023;Menterwolde;
5 jaar;2022;Meppel;334
5 jaar;2023;Meppel;343
5 jaar;2022;Middelburg (Z.);495
5 jaar;2023;Middelburg (Z.);470
5 jaar;2022;Middelharnis;
5 jaar;2023;Middelharnis;
5 jaar;2022;Middelstum;
5 jaar;2023;Middelstum;
5 jaar;2022;Midden-Delfland;223
5 jaar;2023;Midden-Delfland;193
5 jaar;2022;Midden-Drenthe;295
5 jaar;2023;Midden-Drenthe;331
5 jaar;2022;Midden-Groningen;548
5 jaar;2023;Midden-Groningen;568
5 jaar;2022;Middenschouwen;
5 jaar;2023;Middenschouwen;
5 jaar;2022;Middenveld;
5 jaar;2023;Middenveld;
5 jaar;2022;Midwolda;
5 jaar;2023;Midwolda;
5 jaar;2022;Mierlo;
5 jaar;2023;Mierlo;
5 jaar;2022;Mijdrecht;
5 jaar;2023;Mijdrecht;
5 jaar;2022;Mill en Sint Hubert;
5 jaar;2023;Mill en Sint Hubert;
5 jaar;2022;Millingen aan de Rijn;
5 jaar;2023;Millingen aan de Rijn;
5 jaar;2022;Moerdijk;320
5 jaar;2023;Moerdijk;334
5 jaar;2022;Moergestel;
5 jaar;2023;Moergestel;
5 jaar;2022;Moerhuizen;
5 jaar;2023;Moerhuizen;
5 jaar;2022;Moerkapelle;
5 jaar;2023;Moerkapelle;
5 jaar;2022;Molenlanden;517
5 jaar;2023;Molenlanden;496
5 jaar;2022;Molenwaard;
5 jaar;2023;Molenwaard;
5 jaar;2022;Monnickendam;
5 jaar;2023;Monnickendam;
5 jaar;2022;Monster;
5 jaar;2023;Monster;
5 jaar;2022;Montferland;304
5 jaar;2023;Montferland;339
5 jaar;2022;Montfoort;153
5 jaar;2023;Montfoort;149
5 jaar;2022;Montfort;
5 jaar;2023;Montfort;
5 jaar;2022;Mook en Middelaar;69
5 jaar;2023;Mook en Middelaar;52
5 jaar;2022;Moordrecht;
5 jaar;2023;Moordrecht;
5 jaar;2022;Muiden;
5 jaar;2023;Muiden;
5 jaar;2022;Muntendam;
5 jaar;2023;Muntendam;
5 jaar;2022;Naaldwijk;
5 jaar;2023;Naaldwijk;
5 jaar;2022;Naarden;
5 jaar;2023;Naarden;
5 jaar;2022;Neder-Betuwe;334
5 jaar;2023;Neder-Betuwe;373
5 jaar;2022;Nederhorst den Berg;
5 jaar;2023;Nederhorst den Berg;
5 jaar;2022;Nederlek;
5 jaar;2023;Nederlek;
5 jaar;2022;Nederweert;165
5 jaar;2023;Nederweert;138
5 jaar;2022;Neede;
5 jaar;2023;Neede;
5 jaar;2022;Neer;
5 jaar;2023;Neer;
5 jaar;2022;Neerijnen;
5 jaar;2023;Neerijnen;
5 jaar;2022;Niedorp;
5 jaar;2023;Niedorp;
5 jaar;2022;Nieuwe Pekela;
5 jaar;2023;Nieuwe Pekela;
5 jaar;2022;Nieuwegein;640
5 jaar;2023;Nieuwegein;693
5 jaar;2022;Nieuwerkerk aan den IJssel;
5 jaar;2023;Nieuwerkerk aan den IJssel;
5 jaar;2022;Nieuweschans;
5 jaar;2023;Nieuweschans;
5 jaar;2022;Nieuw-Ginneken;
5 jaar;2023;Nieuw-Ginneken;
5 jaar;2022;Nieuwkoop;282
5 jaar;2023;Nieuwkoop;300
5 jaar;2022;Nieuw-Lekkerland;
5 jaar;2023;Nieuw-Lekkerland;
5 jaar;2022;Nieuwleusen;
5 jaar;2023;Nieuwleusen;
5 jaar;2022;Nieuwolda;
5 jaar;2023;Nieuwolda;
5 jaar;2022;Nieuwveen;
5 jaar;2023;Nieuwveen;
5 jaar;2022;Nieuw-Vossemeer;
5 jaar;2023;Nieuw-Vossemeer;
5 jaar;2022;Nigtevecht;
5 jaar;2023;Nigtevecht;
5 jaar;2022;Nijefurd;
5 jaar;2023;Nijefurd;
5 jaar;2022;Nijeveen;
5 jaar;2023;Nijeveen;
5 jaar;2022;Nijkerk;517
5 jaar;2023;Nijkerk;520
5 jaar;2022;Nijmegen;1588
5 jaar;2023;Nijmegen;1644
5 jaar;2022;Nissewaard;957
5 jaar;2023;Nissewaard;856
5 jaar;2022;Nistelrode;
5 jaar;2023;Nistelrode;
5 jaar;2022;Noardeast-Fryslân;489
5 jaar;2023;Noardeast-Fryslân;463
5 jaar;2022;Noord-Beveland;56
5 jaar;2023;Noord-Beveland;52
5 jaar;2022;Noordenveld;285
5 jaar;2023;Noordenveld;296
5 jaar;2022;Noorder-Koggenland;
5 jaar;2023;Noorder-Koggenland;
5 jaar;2022;Noordoostpolder;576
5 jaar;2023;Noordoostpolder;551
5 jaar;2022;Noordwijk;402
5 jaar;2023;Noordwijk;446
5 jaar;2022;Noordwijkerhout;
5 jaar;2023;Noordwijkerhout;
5 jaar;2022;Nootdorp;
5 jaar;2023;Nootdorp;
5 jaar;2022;Norg;
5 jaar;2023;Norg;
5 jaar;2022;Nuenen, Gerwen en Nederwetten;275
5 jaar;2023;Nuenen, Gerwen en Nederwetten;223
5 jaar;2022;Nuland;
5 jaar;2023;Nuland;
5 jaar;2022;Nunspeet;314
5 jaar;2023;Nunspeet;383
5 jaar;2022;Nuth;
5 jaar;2023;Nuth;
5 jaar;2022;Obdam;
5 jaar;2023;Obdam;
5 jaar;2022;Odoorn;
5 jaar;2023;Odoorn;
5 jaar;2022;Oeffelt;
5 jaar;2023;Oeffelt;
5 jaar;2022;Oegstgeest;303
5 jaar;2023;Oegstgeest;316
5 jaar;2022;Ohé en Laak;
5 jaar;2023;Ohé en Laak;
5 jaar;2022;Oirschot;181
5 jaar;2023;Oirschot;151
5 jaar;2022;Oisterwijk;273
5 jaar;2023;Oisterwijk;288
5 jaar;2022;Oldambt;347
5 jaar;2023;Oldambt;317
5 jaar;2022;Oldebroek;286
5 jaar;2023;Oldebroek;301
5 jaar;2022;Oldehove;
5 jaar;2023;Oldehove;
5 jaar;2022;Oldekerk;
5 jaar;2023;Oldekerk;
5 jaar;2022;Oldenzaal;277
5 jaar;2023;Oldenzaal;272
5 jaar;2022;Olst;
5 jaar;2023;Olst;
5 jaar;2022;Olst-Wijhe;176
5 jaar;2023;Olst-Wijhe;170
5 jaar;2022;Ommen;202
5 jaar;2023;Ommen;176
5 jaar;2022;Onderbanken;
5 jaar;2023;Onderbanken;
5 jaar;2022;Oost Gelre;256
5 jaar;2023;Oost Gelre;284
5 jaar;2022;Oost-, West- en Middelbeers;
5 jaar;2023;Oost-, West- en Middelbeers;
5 jaar;2022;Oostburg;
5 jaar;2023;Oostburg;
5 jaar;2022;Oosterbroek;
5 jaar;2023;Oosterbroek;
5 jaar;2022;Oosterhesselen;
5 jaar;2023;Oosterhesselen;
5 jaar;2022;Oosterhout;552
5 jaar;2023;Oosterhout;598
5 jaar;2022;Oostflakkee;
5 jaar;2023;Oostflakkee;
5 jaar;2022;Ooststellingwerf;236
5 jaar;2023;Ooststellingwerf;233
5 jaar;2022;Oostzaan;110
5 jaar;2023;Oostzaan;101
5 jaar;2022;Ootmarsum;
5 jaar;2023;Ootmarsum;
5 jaar;2022;Openbaar Lichaam Z.IJ.P.;
5 jaar;2023;Openbaar Lichaam Z.IJ.P.;
5 jaar;2022;Oploo, Sint Anthonis en Ledeacker;
5 jaar;2023;Oploo, Sint Anthonis en Ledeacker;
5 jaar;2022;Opmeer;136
5 jaar;2023;Opmeer;128
5 jaar;2022;Opsterland;275
5 jaar;2023;Opsterland;302
5 jaar;2022;Oss;891
5 jaar;2023;Oss;930
5 jaar;2022;Ossendrecht;
5 jaar;2023;Ossendrecht;
5 jaar;2022;Oud en Nieuw Gastel;
5 jaar;2023;Oud en Nieuw Gastel;
5 jaar;2022;Oud-Beijerland;
5 jaar;2023;Oud-Beijerland;
5 jaar;2022;Oude IJsselstreek;329
5 jaar;2023;Oude IJsselstreek;316
5 jaar;2022;Oude Pekela;
5 jaar;2023;Oude Pekela;
5 jaar;2022;Oudenbosch;
5 jaar;2023;Oudenbosch;
5 jaar;2022;Ouder-Amstel;139
5 jaar;2023;Ouder-Amstel;136
5 jaar;2022;Ouderkerk;
5 jaar;2023;Ouderkerk;
5 jaar;2022;Oudewater;117
5 jaar;2023;Oudewater;107
5 jaar;2022;Overbetuwe;545
5 jaar;2023;Overbetuwe;566
5 jaar;2022;Papendrecht;305
5 jaar;2023;Papendrecht;301
5 jaar;2022;Peel en Maas;428
5 jaar;2023;Peel en Maas;378
5 jaar;2022;Peize;
5 jaar;2023;Peize;
5 jaar;2022;Pekela;140
5 jaar;2023;Pekela;117
5 jaar;2022;Pijnacker;
5 jaar;2023;Pijnacker;
5 jaar;2022;Pijnacker-Nootdorp;664
5 jaar;2023;Pijnacker-Nootdorp;654
5 jaar;2022;Polsbroek;
5 jaar;2023;Polsbroek;
5 jaar;2022;Posterholt;
5 jaar;2023;Posterholt;
5 jaar;2022;Prinsenbeek;
5 jaar;2023;Prinsenbeek;
5 jaar;2022;Purmerend;876
5 jaar;2023;Purmerend;951
5 jaar;2022;Putte;
5 jaar;2023;Putte;
5 jaar;2022;Putten;291
5 jaar;2023;Putten;260
5 jaar;2022;Raalte;395
5 jaar;2023;Raalte;381
5 jaar;2022;Raamsdonk;
5 jaar;2023;Raamsdonk;
5 jaar;2022;Ravenstein;
5 jaar;2023;Ravenstein;
5 jaar;2022;Reeuwijk;
5 jaar;2023;Reeuwijk;
5 jaar;2022;Reiderland;
5 jaar;2023;Reiderland;
5 jaar;2022;Reimerswaal;308
5 jaar;2023;Reimerswaal;315
5 jaar;2022;Renkum;269
5 jaar;2023;Renkum;241
5 jaar;2022;Renswoude;83
5 jaar;2023;Renswoude;81
5 jaar;2022;Reusel;
5 jaar;2023;Reusel;
5 jaar;2022;Reusel-De Mierden;146
5 jaar;2023;Reusel-De Mierden;152
5 jaar;2022;Rheden;370
5 jaar;2023;Rheden;412
5 jaar;2022;Rhenen;208
5 jaar;2023;Rhenen;234
5 jaar;2022;Ridderkerk;522
5 jaar;2023;Ridderkerk;498
5 jaar;2022;Riethoven;
5 jaar;2023;Riethoven;
5 jaar;2022;Rijneveld;
5 jaar;2023;Rijneveld;
5 jaar;2022;Rijnsaterwoude;
5 jaar;2023;Rijnsaterwoude;
5 jaar;2022;Rijnsburg;
5 jaar;2023;Rijnsburg;
5 jaar;2022;Rijnwaarden;
5 jaar;2023;Rijnwaarden;
5 jaar;2022;Rijnwoude;
5 jaar;2023;Rijnwoude;
5 jaar;2022;Rijsbergen;
5 jaar;2023;Rijsbergen;
5 jaar;2022;Rijssen;
5 jaar;2023;Rijssen;
5 jaar;2022;Rijssen-Holten;492
5 jaar;2023;Rijssen-Holten;481
5 jaar;2022;Rijswijk (ZH.);706
5 jaar;2023;Rijswijk (ZH.);675
5 jaar;2022;Roden;
5 jaar;2023;Roden;
5 jaar;2022;Roerdalen;193
5 jaar;2023;Roerdalen;174
5 jaar;2022;Roermond;504
5 jaar;2023;Roermond;604
5 jaar;2022;Roggel;
5 jaar;2023;Roggel;
5 jaar;2022;Roggel en Neer;
5 jaar;2023;Roggel en Neer;
5 jaar;2022;Rolde;
5 jaar;2023;Rolde;
5 jaar;2022;De Ronde Venen;481
5 jaar;2023;De Ronde Venen;507
5 jaar;2022;Roosendaal;783
5 jaar;2023;Roosendaal;684
5 jaar;2022;Roosendaal en Nispen;
5 jaar;2023;Roosendaal en Nispen;
5 jaar;2022;Rosmalen;
5 jaar;2023;Rosmalen;
5 jaar;2022;Rossum;
5 jaar;2023;Rossum;
5 jaar;2022;Rotterdam;6856
5 jaar;2023;Rotterdam;6635
5 jaar;2022;Rozenburg;
5 jaar;2023;Rozenburg;
5 jaar;2022;Rozendaal;23
5 jaar;2023;Rozendaal;16
5 jaar;2022;Rucphen;206
5 jaar;2023;Rucphen;226
5 jaar;2022;Ruinen;
5 jaar;2023;Ruinen;
5 jaar;2022;Ruinerwold;
5 jaar;2023;Ruinerwold;
5 jaar;2022;Ruurlo;
5 jaar;2023;Ruurlo;
5 jaar;2022;Sas van Gent;
5 jaar;2023;Sas van Gent;
5 jaar;2022;Sassenheim;
5 jaar;2023;Sassenheim;
5 jaar;2022;Schagen;427
5 jaar;2023;Schagen;417
5 jaar;2022;Schaijk;
5 jaar;2023;Schaijk;
5 jaar;2022;Scheemda;
5 jaar;2023;Scheemda;
5 jaar;2022;Schermer;
5 jaar;2023;Schermer;
5 jaar;2022;Scherpenzeel;148
5 jaar;2023;Scherpenzeel;107
5 jaar;2022;Schiedam;858
5 jaar;2023;Schiedam;857
5 jaar;2022;Schiermonnikoog;8
5 jaar;2023;Schiermonnikoog;4
5 jaar;2022;Schijndel;
5 jaar;2023;Schijndel;
5 jaar;2022;Schinnen;
5 jaar;2023;Schinnen;
5 jaar;2022;Schipluiden;
5 jaar;2023;Schipluiden;
5 jaar;2022;Schoonebeek;
5 jaar;2023;Schoonebeek;
5 jaar;2022;Schoonhoven;
5 jaar;2023;Schoonhoven;
5 jaar;2022;Schoorl;
5 jaar;2023;Schoorl;
5 jaar;2022;Schouwen-Duiveland;287
5 jaar;2023;Schouwen-Duiveland;333
5 jaar;2022;Sevenum;
5 jaar;2023;Sevenum;
5 jaar;2022;Simpelveld;86
5 jaar;2023;Simpelveld;80
5 jaar;2022;Sint Anthonis;
5 jaar;2023;Sint Anthonis;
5 jaar;2022;Sint Maarten;
5 jaar;2023;Sint Maarten;
5 jaar;2022;Sint Odilienberg;
5 jaar;2023;Sint Odilienberg;
5 jaar;2022;Sint Pancras;
5 jaar;2023;Sint Pancras;
5 jaar;2022;Sint Philipsland;
5 jaar;2023;Sint Philipsland;
5 jaar;2022;Sint-Michielsgestel;319
5 jaar;2023;Sint-Michielsgestel;332
5 jaar;2022;Sint-Oedenrode;
5 jaar;2023;Sint-Oedenrode;
5 jaar;2022;Sittard;
5 jaar;2023;Sittard;
5 jaar;2022;Sittard-Geleen;722
5 jaar;2023;Sittard-Geleen;702
5 jaar;2022;Skarsterlân;
5 jaar;2023;Skarsterlân;
5 jaar;2022;Sleen;
5 jaar;2023;Sleen;
5 jaar;2022;Sliedrecht;318
5 jaar;2023;Sliedrecht;336
5 jaar;2022;Slochteren;
5 jaar;2023;Slochteren;
5 jaar;2022;Sluis;160
5 jaar;2023;Sluis;195
5 jaar;2022;Sluis (oud);
5 jaar;2023;Sluis (oud);
5 jaar;2022;Sluis-Aardenburg;
5 jaar;2023;Sluis-Aardenburg;
5 jaar;2022;Smallingerland;546
5 jaar;2023;Smallingerland;577
5 jaar;2022;Smilde;
5 jaar;2023;Smilde;
5 jaar;2022;Sneek;
5 jaar;2023;Sneek;
5 jaar;2022;Snelrewaard;
5 jaar;2023;Snelrewaard;
5 jaar;2022;Soest;498
5 jaar;2023;Soest;500
5 jaar;2022;Someren;183
5 jaar;2023;Someren;222
5 jaar;2022;Son en Breugel;198
5 jaar;2023;Son en Breugel;213
5 jaar;2022;Spijkenisse;
5 jaar;2023;Spijkenisse;
5 jaar;2022;Sprang-Capelle;
5 jaar;2023;Sprang-Capelle;
5 jaar;2022;St. Anthonis;
5 jaar;2023;St. Anthonis;
5 jaar;2022;Stad Delden;
5 jaar;2023;Stad Delden;
5 jaar;2022;Stadskanaal;294
5 jaar;2023;Stadskanaal;271
5 jaar;2022;Standdaarbuiten;
5 jaar;2023;Standdaarbuiten;
5 jaar;2022;Staphorst;258
5 jaar;2023;Staphorst;253
5 jaar;2022;Stede Broec;245
5 jaar;2023;Stede Broec;234
5 jaar;2022;Stedum;
5 jaar;2023;Stedum;
5 jaar;2022;Steenbergen;237
5 jaar;2023;Steenbergen;220
5 jaar;2022;Steenderen;
5 jaar;2023;Steenderen;
5 jaar;2022;Steenwijk;
5 jaar;2023;Steenwijk;
5 jaar;2022;Steenwijkerland;458
5 jaar;2023;Steenwijkerland;460
5 jaar;2022;Stein (L.);188
5 jaar;2023;Stein (L.);191
5 jaar;2022;Stevensweert;
5 jaar;2023;Stevensweert;
5 jaar;2022;Stichtse Vecht;680
5 jaar;2023;Stichtse Vecht;705
5 jaar;2022;Stramproy;
5 jaar;2023;Stramproy;
5 jaar;2022;Strijen;
5 jaar;2023;Strijen;
5 jaar;2022;Súdwest-Fryslân;903
5 jaar;2023;Súdwest-Fryslân;869
5 jaar;2022;Susteren;
5 jaar;2023;Susteren;
5 jaar;2022;Swalmen;
5 jaar;2023;Swalmen;
5 jaar;2022;Tegelen;
5 jaar;2023;Tegelen;
5 jaar;2022;Terheijden;
5 jaar;2023;Terheijden;
5 jaar;2022;Termunten;
5 jaar;2023;Termunten;
5 jaar;2022;Terneuzen;495
5 jaar;2023;Terneuzen;464
5 jaar;2022;Terschelling;36
5 jaar;2023;Terschelling;42
5 jaar;2022;Teteringen;
5 jaar;2023;Teteringen;
5 jaar;2022;Texel;125
5 jaar;2023;Texel;97
5 jaar;2022;Teylingen;386
5 jaar;2023;Teylingen;405
5 jaar;2022;Tholen;307
5 jaar;2023;Tholen;306
5 jaar;2022;Thorn;
5 jaar;2023;Thorn;
5 jaar;2022;Tiel;429
5 jaar;2023;Tiel;419
5 jaar;2022;Tietjerksteradeel;
5 jaar;2023;Tietjerksteradeel;
5 jaar;2022;Tilburg;2135
5 jaar;2023;Tilburg;2032
5 jaar;2022;Tubbergen;206
5 jaar;2023;Tubbergen;201
5 jaar;2022;Twenterand;367
5 jaar;2023;Twenterand;361
5 jaar;2022;Tynaarlo;389
5 jaar;2023;Tynaarlo;385
5 jaar;2022;Tytsjerksteradiel;331
5 jaar;2023;Tytsjerksteradiel;322
5 jaar;2022;Ubbergen;
5 jaar;2023;Ubbergen;
5 jaar;2022;Uden;
5 jaar;2023;Uden;
5 jaar;2022;Udenhout;
5 jaar;2023;Udenhout;
5 jaar;2022;Uitgeest;149
5 jaar;2023;Uitgeest;119
5 jaar;2022;Uithoorn;355
5 jaar;2023;Uithoorn;363
5 jaar;2022;Ulrum;
5 jaar;2023;Ulrum;
5 jaar;2022;Urk;379
5 jaar;2023;Urk;407
5 jaar;2022;Usquert;
5 jaar;2023;Usquert;
5 jaar;2022;Utrecht (gemeente);3936
5 jaar;2023;Utrecht (gemeente);3913
5 jaar;2022;Utrechtse Heuvelrug;516
5 jaar;2023;Utrechtse Heuvelrug;543
5 jaar;2022;Vaals;80
5 jaar;2023;Vaals;67
5 jaar;2022;Valburg;
5 jaar;2023;Valburg;
5 jaar;2022;Valkenburg (ZH.);
5 jaar;2023;Valkenburg (ZH.);
5 jaar;2022;Valkenburg aan de Geul;128
5 jaar;2023;Valkenburg aan de Geul;116
5 jaar;2022;Valkenisse;
5 jaar;2023;Valkenisse;
5 jaar;2022;Valkenswaard;265
5 jaar;2023;Valkenswaard;295
5 jaar;2022;Veendam;256
5 jaar;2023;Veendam;211
5 jaar;2022;Veenendaal;874
5 jaar;2023;Veenendaal;831
5 jaar;2022;Veere;228
5 jaar;2023;Veere;213
5 jaar;2022;Veghel;
5 jaar;2023;Veghel;
5 jaar;2022;Veldhoven;451
5 jaar;2023;Veldhoven;459
5 jaar;2022;Velsen;718
5 jaar;2023;Velsen;671
5 jaar;2022;Venhuizen;
5 jaar;2023;Venhuizen;
5 jaar;2022;Venlo;949
5 jaar;2023;Venlo;938
5 jaar;2022;Venray;428
5 jaar;2023;Venray;425
5 jaar;2022;Vessem, Wintelre en Knegsel;
5 jaar;2023;Vessem, Wintelre en Knegsel;
5 jaar;2022;Vianen;
5 jaar;2023;Vianen;
5 jaar;2022;Vierlingsbeek;
5 jaar;2023;Vierlingsbeek;
5 jaar;2022;Vijfheerenlanden;715
5 jaar;2023;Vijfheerenlanden;703
5 jaar;2022;Vinkeveen en Waverveen;
5 jaar;2023;Vinkeveen en Waverveen;
5 jaar;2022;Vlaardingen;823
5 jaar;2023;Vlaardingen;832
5 jaar;2022;Vlagtwedde;
5 jaar;2023;Vlagtwedde;
5 jaar;2022;Vledder;
5 jaar;2023;Vledder;
5 jaar;2022;Vleuten-De Meern;
5 jaar;2023;Vleuten-De Meern;
5 jaar;2022;Vlieland;3
5 jaar;2023;Vlieland;7
